n_holders,parametro_dist,n_rodadas,reinveste_recompensa,rodada,gini
200,1.1,5,0.0,1,0.6456072503093346
200,1.1,5,0.0,2,0.6456072503093346
200,1.1,5,0.0,3,0.6456072503093346
200,1.1,5,0.0,4,0.6456072503093346
200,1.1,5,0.0,5,0.6456072503093346
200,1.1,5,0.0,1,0.8760800401916735
200,1.1,5,0.0,2,0.8760800401916735
200,1.1,5,0.0,3,0.8760800401916735
200,1.1,5,0.0,4,0.8760800401916735
200,1.1,5,0.0,5,0.8760800401916735
200,1.1,5,0.0,1,0.6217035175719339
200,1.1,5,0.0,2,0.6217035175719339
200,1.1,5,0.0,3,0.6217035175719339
200,1.1,5,0.0,4,0.6217035175719339
200,1.1,5,0.0,5,0.6217035175719339
200,1.1,5,0.0,1,0.5916551449410119
200,1.1,5,0.0,2,0.5916551449410119
200,1.1,5,0.0,3,0.5916551449410119
200,1.1,5,0.0,4,0.5916551449410119
200,1.1,5,0.0,5,0.5916551449410119
200,1.1,5,0.0,1,0.7338121095498895
200,1.1,5,0.0,2,0.7338121095498895
200,1.1,5,0.0,3,0.7338121095498895
200,1.1,5,0.0,4,0.7338121095498895
200,1.1,5,0.0,5,0.7338121095498895
200,1.1,5,0.0,1,0.5463180851092801
200,1.1,5,0.0,2,0.5463180851092801
200,1.1,5,0.0,3,0.5463180851092801
200,1.1,5,0.0,4,0.5463180851092801
200,1.1,5,0.0,5,0.5463180851092801
200,1.1,5,0.0,1,0.5742244880318341
200,1.1,5,0.0,2,0.5742244880318341
200,1.1,5,0.0,3,0.5742244880318341
200,1.1,5,0.0,4,0.5742244880318341
200,1.1,5,0.0,5,0.5742244880318341
200,1.1,5,0.0,1,0.6878453038920176
200,1.1,5,0.0,2,0.6878453038920176
200,1.1,5,0.0,3,0.6878453038920176
200,1.1,5,0.0,4,0.6878453038920176
200,1.1,5,0.0,5,0.6878453038920176
200,1.1,5,0.0,1,0.7162268533124754
200,1.1,5,0.0,2,0.7162268533124754
200,1.1,5,0.0,3,0.7162268533124754
200,1.1,5,0.0,4,0.7162268533124754
200,1.1,5,0.0,5,0.7162268533124754
200,1.1,5,0.0,1,0.7889137063745129
200,1.1,5,0.0,2,0.7889137063745129
200,1.1,5,0.0,3,0.7889137063745129
200,1.1,5,0.0,4,0.7889137063745129
200,1.1,5,0.0,5,0.7889137063745129
200,1.1,5,0.0,1,0.5111348497773902
200,1.1,5,0.0,2,0.5111348497773902
200,1.1,5,0.0,3,0.5111348497773902
200,1.1,5,0.0,4,0.5111348497773902
200,1.1,5,0.0,5,0.5111348497773902
200,1.1,5,0.0,1,0.6000629179295256
200,1.1,5,0.0,2,0.6000629179295256
200,1.1,5,0.0,3,0.6000629179295256
200,1.1,5,0.0,4,0.6000629179295256
200,1.1,5,0.0,5,0.6000629179295256
200,1.1,5,0.0,1,0.8379094696771796
200,1.1,5,0.0,2,0.8379094696771796
200,1.1,5,0.0,3,0.8379094696771796
200,1.1,5,0.0,4,0.8379094696771796
200,1.1,5,0.0,5,0.8379094696771796
200,1.1,5,0.0,1,0.5981324192654578
200,1.1,5,0.0,2,0.5981324192654578
200,1.1,5,0.0,3,0.5981324192654578
200,1.1,5,0.0,4,0.5981324192654578
200,1.1,5,0.0,5,0.5981324192654578
200,1.1,5,0.0,1,0.6519028119874359
200,1.1,5,0.0,2,0.6519028119874359
200,1.1,5,0.0,3,0.6519028119874359
200,1.1,5,0.0,4,0.6519028119874359
200,1.1,5,0.0,5,0.6519028119874359
200,1.1,5,0.0,1,0.5713326892832973
200,1.1,5,0.0,2,0.5713326892832973
200,1.1,5,0.0,3,0.5713326892832973
200,1.1,5,0.0,4,0.5713326892832973
200,1.1,5,0.0,5,0.5713326892832973
200,1.1,5,0.0,1,0.8553570204296981
200,1.1,5,0.0,2,0.8553570204296981
200,1.1,5,0.0,3,0.8553570204296981
200,1.1,5,0.0,4,0.8553570204296981
200,1.1,5,0.0,5,0.8553570204296981
200,1.1,5,0.0,1,0.6972203538794457
200,1.1,5,0.0,2,0.6972203538794457
200,1.1,5,0.0,3,0.6972203538794457
200,1.1,5,0.0,4,0.6972203538794457
200,1.1,5,0.0,5,0.6972203538794457
200,1.1,5,0.0,1,0.6317332463275356
200,1.1,5,0.0,2,0.6317332463275356
200,1.1,5,0.0,3,0.6317332463275356
200,1.1,5,0.0,4,0.6317332463275356
200,1.1,5,0.0,5,0.6317332463275356
200,1.1,5,0.0,1,0.7061828626676834
200,1.1,5,0.0,2,0.7061828626676834
200,1.1,5,0.0,3,0.7061828626676834
200,1.1,5,0.0,4,0.7061828626676834
200,1.1,5,0.0,5,0.7061828626676834
200,1.1,5,0.0,1,0.6161560836541662
200,1.1,5,0.0,2,0.6161560836541662
200,1.1,5,0.0,3,0.6161560836541662
200,1.1,5,0.0,4,0.6161560836541662
200,1.1,5,0.0,5,0.6161560836541662
200,1.1,5,0.0,1,0.5796004842673228
200,1.1,5,0.0,2,0.5796004842673228
200,1.1,5,0.0,3,0.5796004842673228
200,1.1,5,0.0,4,0.5796004842673228
200,1.1,5,0.0,5,0.5796004842673228
200,1.1,5,0.0,1,0.4583272326988186
200,1.1,5,0.0,2,0.4583272326988186
200,1.1,5,0.0,3,0.4583272326988186
200,1.1,5,0.0,4,0.4583272326988186
200,1.1,5,0.0,5,0.4583272326988186
200,1.1,5,0.0,1,0.6859294544103312
200,1.1,5,0.0,2,0.6859294544103312
200,1.1,5,0.0,3,0.6859294544103312
200,1.1,5,0.0,4,0.6859294544103312
200,1.1,5,0.0,5,0.6859294544103312
200,1.1,5,0.0,1,0.5883345350377023
200,1.1,5,0.0,2,0.5883345350377023
200,1.1,5,0.0,3,0.5883345350377023
200,1.1,5,0.0,4,0.5883345350377023
200,1.1,5,0.0,5,0.5883345350377023
200,1.1,5,0.0,1,0.7762153519532244
200,1.1,5,0.0,2,0.7762153519532244
200,1.1,5,0.0,3,0.7762153519532244
200,1.1,5,0.0,4,0.7762153519532244
200,1.1,5,0.0,5,0.7762153519532244
200,1.1,5,0.0,1,0.6260739688120873
200,1.1,5,0.0,2,0.6260739688120873
200,1.1,5,0.0,3,0.6260739688120873
200,1.1,5,0.0,4,0.6260739688120873
200,1.1,5,0.0,5,0.6260739688120873
200,1.1,5,0.0,1,0.7878997307585702
200,1.1,5,0.0,2,0.7878997307585702
200,1.1,5,0.0,3,0.7878997307585702
200,1.1,5,0.0,4,0.7878997307585702
200,1.1,5,0.0,5,0.7878997307585702
200,1.1,5,0.0,1,0.7180664524776652
200,1.1,5,0.0,2,0.7180664524776652
200,1.1,5,0.0,3,0.7180664524776652
