id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-185907,1,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,stake,4.6,1.082139,30,0
20260703-185907,1,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,eleito,4.733333,0.228908,30,0
20260703-185907,1,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,produzido,4.733333,0.228908,30,0
20260703-185907,2,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,stake,4.866667,0.537659,30,0
20260703-185907,2,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,eleito,6.6,0.178305,30,0
20260703-185907,2,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,produzido,6.4,0.178305,30,0
20260703-185907,3,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,stake,5.7,0.34078,30,0
20260703-185907,3,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,eleito,6.933333,0.090788,30,0
20260703-185907,3,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,produzido,6.8,0.145585,30,0
20260703-185907,4,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,stake,4.6,1.082139,30,0
20260703-185907,4,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,eleito,4.766667,0.203371,30,0
20260703-185907,4,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,produzido,4.766667,0.203371,30,0
20260703-185907,5,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,stake,6.266667,0.280878,30,0
20260703-185907,5,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,eleito,7.0,0.093975,30,0
20260703-185907,5,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,produzido,6.866667,0.123724,30,0
20260703-185907,6,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,stake,6.933333,0.090788,30,0
20260703-185907,6,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,eleito,7.166667,0.135641,30,0
20260703-185907,6,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,7,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,stake,4.6,1.082139,30,0
20260703-185907,7,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,eleito,4.7,0.251284,30,0
20260703-185907,7,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,produzido,4.666667,0.236498,30,0
20260703-185907,8,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,8,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,eleito,7.4,0.178305,30,0
20260703-185907,8,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,9,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,9,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,eleito,7.566667,0.180357,30,0
20260703-185907,9,G10,concentracao_de_recompensas,200,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,10,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,stake,12.633333,2.148066,30,0
20260703-185907,10,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,eleito,4.933333,0.090788,30,0
20260703-185907,10,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,produzido,4.9,0.109189,30,0
20260703-185907,11,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,stake,6.666667,0.402376,30,0
20260703-185907,11,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,eleito,6.866667,0.123724,30,0
20260703-185907,11,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,produzido,6.766667,0.153939,30,0
20260703-185907,12,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,stake,6.633333,0.257074,30,0
20260703-185907,12,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,eleito,7.033333,0.065333,30,0
20260703-185907,12,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,13,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,stake,12.633333,2.148066,30,0
20260703-185907,13,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,eleito,4.833333,0.135641,30,0
20260703-185907,13,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,produzido,4.833333,0.135641,30,0
20260703-185907,14,G10,concentracao_de_recompensas,200,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,stake,7.0,0.162769,30,0
